IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
4722	0.217521169113057	-0.203129495003954	-0.155565256670202	-0.0591511845435816	0.0288330592879755	-0.0594063269553011	-0.22472686107282	-0.0116552846867416	0.00520116499190975	0.286385562586336
38-11	0.0879890965879139	-0.0962626788796416	0.1652838854557	0.019181276323661	-0.0754594904490178	0.0317765475286734	-0.0906675520160301	-0.132027418547185	-0.00101557334281292	-0.043692051102534
A554	0.146246498630623	-0.0447223642517949	0.0230136916120275	0.0102213281001589	-0.0404807426273412	0.099198361812241	-0.0423148954709515	-0.197428481204423	-0.110383426766498	-0.079455828185013
A661	0.151571584817535	-0.118686338783897	0.00023877569726294	-0.0181230048903349	-0.00369534596546057	0.0120461067079426	-0.00581701755282214	-0.0497988614998775	-0.10788790213789	-0.0416743330397446
B10	-0.205611332048401	-0.0348900704459224	0.089477576127285	-0.0141526596789396	-0.0296926397328976	0.157390097204192	-0.122041953153912	-0.266625013385247	-0.0287673812334914	-0.0936891486635089
B14A	-0.693532748467862	-0.141993062622471	0.00207199495224283	-0.572117714874573	0.0387236174067062	-0.0107430623778271	0.0677547675197439	0.0538807436306586	-0.152984453557443	-0.00545482795914792
B64	-0.45332089565395	-0.144188327403047	-0.0658857782357518	-0.496121838634826	0.0921048662895124	0.0330202783963455	0.117962455674127	0.0724611334245846	-0.0364241661072079	-0.00746553337866434
B7	0.0440825444302358	-0.0893683481632921	0.12022984091244	0.00561908995395727	-0.0235804391387448	0.0447655966778936	-0.0718911211943336	-0.03510740218557	-0.0296356789647953	-0.017777683945715
B8	0.158008942167012	-0.0740644749798619	-0.0313652251176866	-0.0631673654435678	0.0212899717336781	0.0421436039487614	-0.0291839965822622	-0.0401241451157994	-0.086855637318131	-0.02645314455236
C49A	0.139264005216899	-0.119685313234633	-0.0525121838897481	-0.0451754110303137	-0.0205909747416835	0.0319916881867555	-0.0225144243184913	-0.00115854904566726	-0.106663171266956	-0.0621800993942418
CI_21E	0.0181737980275958	-0.129900848747964	0.0727287906464126	-0.00526988596366956	-0.0025423720725003	0.0249153579135042	-0.0164167415312218	-0.271119681405169	-0.0483364720039048	0.0416614335287073
CI_28A	0.163037041393984	-0.117126236833166	0.0525037058768501	-0.00253684242600748	-0.0663930982875311	0.122495916442957	0.0236914261539884	-0.151385895923989	-0.0142690260510941	0.0270725556187121
CI31A	0.174069116999259	-0.10807349150042	-0.00894910781478264	-0.0177685320800297	0.0247050332778594	0.0672987211475509	0.0248875023258071	-0.0527456452453032	-0.0284560256782097	0.0457716868183021
CI_3A	0.137725832754745	-0.127721664039031	0.0223710582343531	-0.0796027337811543	0.0104054847695698	-0.0131804426359292	-0.00317684643498021	-0.114052263815304	0.0820182952337775	0.0524517572430804
CI_64	0.227295339950227	-0.157556226961123	-0.166350231077992	-0.0742927986942309	-0.0444582145674403	0.13825728445202	0.0998428842090026	-0.0811153164661852	-0.0426128504196275	0.249743915143632
CI_91B	0.0732149852873821	0.244400003876679	0.0147597180547918	0.0706752816903607	-0.174214347576767	0.22296742075714	-0.16174539381555	-0.31344844987898	-0.121314371482623	-0.154856753709609
CM7	0.221325682065072	-0.180031812096721	-0.112665569404487	-0.0465678413840512	-0.0206387418026636	-0.0437675074223608	-0.0802513399216921	-0.0335296204547086	-0.0951129639986329	-0.0487962703516896
CO125	0.195420499505951	-0.10715994243028	-0.0266085888811475	-0.0135158329357932	-0.0114743790024643	0.0437500783057567	-0.0107858035615817	-0.0696447427871711	-0.046708506129809	0.0257924550506888
CO255	0.261411881966205	-0.213293105285943	-0.189409798159813	-0.0606288905970231	0.0503693175347619	-0.0900276508490577	-0.136463513865685	0.0676622148193006	0.00741339055079406	0.0500679276033976
CR1HT	0.186571168061072	0.471179599249055	-0.146217776449353	-0.119805353294446	-0.248416198739361	0.193731983963358	-0.112631073868176	-0.0136802469435203	-0.0417169642213999	-0.132012423272342
E2558W	0.209686433119473	-0.158633591761112	-0.123694208182978	-0.0467256014285035	-0.0201705056123793	0.0886148030843363	0.0883516446156564	-0.0820582169177653	-0.0105278821408821	0.19453869863551
EP1	0.25990494813243	-0.183070945636989	-0.225230972656586	-0.0267494337611734	0.128216311085084	-0.0622845821645033	-0.155372783815336	0.118966752419983	0.0306574375433623	0.0683617796198538
H49	0.126384890711131	-0.0472985257293813	0.104447862902427	-0.011168832490691	0.0119627306217498	0.0545234510066782	0.031833704868265	-0.366550352209372	-0.165460845072491	-0.0502138093464006
I205	0.0450285028952331	-0.00469491191726684	0.231387266022503	0.0940569648809755	0.196109567070658	0.12118410308855	-0.143440319189495	-0.0940641811809299	-0.180556662991705	-0.0392048975540873
Il14H	0.309991028960288	-0.277096819550981	-0.250448351021207	-0.174585853672129	-0.0274429981492261	-0.335254504479181	-0.658258490582041	0.0759737076887841	-0.087870498779967	-0.0281887151282802
K148	0.187005868974289	-0.130162149912141	-0.0113244272284901	-0.00901750932080231	-0.0406300501073919	0.0621051167294702	0.0390256204959214	-0.0589190931259922	-0.0104242775945597	0.0483264936133695
K4	0.158539558868773	-0.125439633871889	0.0240194037420741	-0.0338663304692167	-0.0354229871551103	0.0830031721977036	0.0143019530945915	-0.0686510920315092	0.0416492246820783	0.0447479347150735
K64	0.189582835825214	-0.124003147471904	-0.135529828189174	-0.0774872873163553	-0.0703195733653738	0.10758557951808	0.0472744849246988	-0.0694874670923432	-0.0549643548567258	0.198063314124014
Ky21	0.153049479926338	-0.155339187083533	-0.0785864695580301	-0.0423540035943941	-0.0308276032340043	0.0505106692385266	0.0382571448306544	-0.00197999798984037	-0.00620274950403876	0.0681197378854823
Ky226	0.156573285203623	-0.052450178681569	-0.0813499877623262	0.0523699390806946	-0.0335366698834257	0.0486732590865266	0.0789108961768894	-0.215806874738538	-0.0729222298936756	0.0264465775285593
L317	0.222450272686715	-0.114121608446629	-0.0162823691712869	-0.114976616798709	0.0212176411840444	-0.134651635954543	-0.0843947678693681	0.0250276129536148	0.0799055605837368	0.0678129640593601
LH93	0.143532257807103	-0.00480264839726577	0.00640903235042252	-0.0145402377340941	-0.00729294794492967	-0.0325793762122507	-0.0109261885808282	-0.110517580507742	-0.0342136401949465	-0.0136951294243656
M162W	0.249099022597392	-0.14082558242099	-0.141109616678021	-0.0648807978954766	-0.0211724239661771	0.138199822833216	0.167045858428013	-0.0550876964069418	-0.0183829344880528	0.23088483000718
Mo24W	0.189105896766583	-0.122430985467442	-0.0677145170179153	-0.0292864162829733	0.00561948590998534	0.0623513030015034	0.065721307022595	-0.0566431178553117	0.0348816752154561	0.0211575200130681
Mp339	0.174914319888217	-0.135123857018062	-0.109420374467389	-0.0395402100602338	0.0130063814078274	0.0683795987069533	0.105356101034284	-0.0251628549768191	0.0235419039051052	0.0994622661940867
Mt42	0.199503080248607	-0.16188947126705	-0.0466256169341817	-0.052475315481043	-0.0283548220463709	0.042414572245966	-0.0322332702925856	-0.04407513166031	-0.0580330791507922	0.0182519872397263
NC222	0.197923989583083	-0.134714150192693	-0.0569574886526411	-0.07991094452437	-0.0045606493915914	0.0115869856503975	0.0529349514342215	-0.0212204356866114	-0.0187716362809599	0.0947124316936089
NC232	0.168143897162925	-0.117983170651068	-0.0425681027612565	-0.034641730224382	0.00445157276954295	0.0950603082684973	0.0872032542846419	-0.154625875733096	-0.0320013900035025	0.0334815017751439
NC236	0.180804781250721	-0.0885686996006135	-0.0448728662676232	-0.0169300283070835	-0.0298529965331038	0.0765617519627467	0.00275886169962372	-0.0855436573560201	0.00428909520192423	0.0979307424291193
NC264	0.238953068084444	-0.136623323698644	-0.188204036325419	-0.0522721765821054	0.0247497688586943	0.0519706300840685	0.0957369237076727	0.00509020525158349	0.0283934589764363	0.142186853968827
NC340	0.254447867741099	-0.172955910571418	-0.229180470665181	0.0212612420062617	0.0600210403485918	0.167145772893402	0.299129087202687	0.00715031586252574	0.0885776995704843	0.146923554421704
NC344	0.229914104965884	0.298076288020922	-0.184259876324946	-0.143447127369157	-0.147756042174532	0.0426441463912359	0.0162078932691065	0.175144072929909	0.134906617954495	0.0891182655616023
NC356	0.258027990545603	-0.160182303661097	-0.200780069458048	0.0106030586787623	0.0709153867060696	0.152399378596582	0.31300514285647	-0.0101323484577667	0.0788532576310757	0.141510919590476
NC358	0.253262559785424	-0.1635698387536	-0.219091949316944	0.0178047437967969	0.0621549757181214	0.147769497168665	0.306171919075302	-0.0337386514101348	0.0793225078943761	0.186768971332931
ND246	0.205584493226836	-0.135782469952384	-0.0110200351654013	-0.0453611902332402	-0.018294189392015	-0.0506634463387595	-0.0578086015704756	0.0511784155578648	-0.0100287772151607	0.0200658226671579
P39	0.306941082876865	-0.264306127564541	-0.252201729688721	-0.170779207348558	0.002736420799704	-0.356703211100125	-0.655489043673799	0.114986119658236	-0.0361731603233217	-0.0594967665619306
PHT77	0.0402416010778017	0.154976715468611	0.0525825199967544	0.01366738003641	0.0634854271912111	-0.130702034734081	-0.00243257002387066	-0.0358555923120836	0.145121986809787	-0.0726261234322026
R4	0.118643430622002	-0.10443001526762	0.383422843322805	0.0280589639525559	-0.257214857374002	0.0759334867751576	-0.0198144624925642	0.0316320113124799	0.0257821613169887	-0.0412127650811755
S8324	-0.49610461711271	-0.0135680294497161	-0.0971583418124672	0.305396645125511	-0.249372389906669	-0.228551546319131	0.0219083687230842	0.0544648746058581	-0.0638665619515692	0.0724713292997557
Sg_1533	0.226851839423381	-0.213336655479972	-0.140281911418787	-0.014209611664099	-0.0333111504258918	-0.0116549864381483	-0.17006133283359	0.0127506370418705	-0.0695736797208117	0.436195793041611
Sg_18	0.235408583715133	-0.236932150605111	-0.172481090405214	-0.0314286636819649	0.00833268897156759	-0.0146723477842471	-0.220570332619428	0.00631901583209991	-0.0561585413535659	0.497972724081798
T232	0.0994457535507344	-0.137579082956843	-0.00401006870074377	-0.0777516419854376	0.012518058120132	0.0506394813034289	0.0479578073028156	-0.0950811971755998	0.113301153469276	0.0143418405468038
T234	0.188826069053216	-0.141338804707552	0.00927472631016442	-0.0389381027091097	-0.0375744881105283	0.0401651268842468	0.0605657340033449	-0.0584628428675138	-0.0414585686695878	0.0653355543305162
U267Y	0.214873365372427	-0.118283331988378	-0.0849958473089781	-0.0162539442864663	0.0188316679886075	0.0805225187110329	0.104985094712423	-0.13093477957465	0.000168023123938029	0.0582872614997657
Va14	0.145049751177231	0.000411304782488455	0.00240927228536186	0.00757982193500762	0.0318937209710648	-0.0121736388220943	0.0461787586266602	-0.16977132415372	-0.0295290199810635	-0.0158843875302939
Va85	0.184505018781245	-0.00830951102141007	0.0713949166171148	-0.0601821068417884	0.0125638986329825	-0.227841854477407	0.0548869267858205	-0.105001374188826	-0.0417152399422172	0.0735068082312
W182BN	0.113051716142165	-0.123736821285339	0.211024963044183	-0.0327924657650875	-0.237120960381368	-0.0600942324012699	0.0256013750832523	0.218530306898178	0.0690167375447896	-0.145235360231775
4226	0.171313517991688	-0.105376394484029	0.0558261449314641	-0.0258912861216883	-0.0638489214927387	0.12286846381037	-0.0288061779974292	-0.0961806196046204	-0.0043653329743607	0.0560687801379239
4F-35_BK	0.216133030063259	-0.157285545755155	-0.182960542348196	-0.0323286268699121	0.0467876379089529	0.00852172146663207	0.0834855927727173	0.00124914336323594	0.087717530583899	0.141939417893476
A	0.116431207755953	-0.190478833641393	0.459982439797238	-0.0779362029640826	-0.307278760367028	0.0465569830688608	-0.0732886831440556	0.135419900507666	0.0421640451809223	0.0903566186211778
A188	0.196696883462675	-0.0740393498679219	-0.0162983203955544	-0.0507098039411007	-0.0285576762317908	0.0490281050073886	-0.0304096798969978	0.0148537849156307	-0.00420812797801512	0.0626095358434999
A239	0.128656070988487	-0.178325649495245	0.43467714129886	-0.025419406946255	-0.301975086692361	0.051833920450705	0.0059586864216288	0.200607409905154	0.131355095489264	0.010488170258568
A258	0.124313021682446	-0.157637632323809	0.336382431757572	-0.0110536189292695	-0.246462735599039	0.123375814501518	-0.0673994818047415	0.110684152050348	0.0664051935597445	-0.0230614878421655
A321	0.111467785689146	-0.177295519905703	0.548229134051913	-0.00500068885306838	-0.391443415203217	0.0540613070867221	-0.0022301017080387	0.264926636872409	0.125140300663506	0.080083448031116
A322	0.146871711178884	-0.115681040394374	0.0207972564400396	-0.0146439086204485	-0.0189476858502409	0.0321022541452129	-0.0271206669320821	-0.0385363138197733	-0.0184526938972742	0.115427404663474
A334	0.136178860678963	-0.0813869376036699	0.0369581702265496	-0.0153462149187247	-0.0268581491339154	0.0791840170218259	-0.0169829977902656	-0.0585135931715956	-0.0235553532827305	0.0672306097701696
